B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
3.4500 1 -0.84892448 1 0.9999999327 0.0000000357 0.0000000325 0.0000000024 0.0000000014 0.0000000013 0.0000000010 0.0000000010 0.0000000008 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003
3.5000 1 -0.84520788 1 0.9999999282 0.0000000379 0.0000000348 0.0000000025 0.0000000015 0.0000000013 0.0000000010 0.0000000010 0.0000000008 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003
3.5500 1 -0.84156396 1 0.9999999239 0.0000000403 0.0000000371 0.0000000025 0.0000000015 0.0000000014 0.0000000011 0.0000000010 0.0000000008 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003
3.6000 1 -0.83799079 1 0.9999999188 0.0000000430 0.0000000397 0.0000000026 0.0000000015 0.0000000014 0.0000000012 0.0000000011 0.0000000008 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003
3.6500 1 -0.83448646 1 0.9999999136 0.0000000456 0.0000000424 0.0000000026 0.0000000016 0.0000000014 0.0000000012 0.0000000011 0.0000000008 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004
3.7000 1 -0.83104916 1 0.9999999061 0.0000000496 0.0000000460 0.0000000027 0.0000000017 0.0000000014 0.0000000014 0.0000000011 0.0000000009 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004
3.7500 1 -0.82767711 1 0.9999998976 0.0000000540 0.0000000498 0.0000000030 0.0000000018 0.0000000016 0.0000000016 0.0000000012 0.0000000010 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004
3.8000 1 -0.82436861 1 0.9999998900 0.0000000580 0.0000000532 0.0000000032 0.0000000019 0.0000000019 0.0000000017 0.0000000013 0.0000000010 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004
3.8500 1 -0.82112199 1 0.9999998828 0.0000000618 0.0000000562 0.0000000034 0.0000000021 0.0000000020 0.0000000018 0.0000000014 0.0000000011 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004
3.9000 1 -0.81793566 1 0.9999998762 0.0000000654 0.0000000591 0.0000000036 0.0000000024 0.0000000021 0.0000000020 0.0000000015 0.0000000012 0.0000000007 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005
3.9500 1 -0.81480806 1 0.9999998689 0.0000000692 0.0000000621 0.0000000038 0.0000000027 0.0000000022 0.0000000021 0.0000000016 0.0000000012 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000005
4.0000 1 -0.81173769 1 0.9999998622 0.0000000728 0.0000000649 0.0000000039 0.0000000030 0.0000000023 0.0000000022 0.0000000016 0.0000000013 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005
4.0500 1 -0.80872309 1 0.9999998560 0.0000000761 0.0000000674 0.0000000041 0.0000000032 0.0000000024 0.0000000023 0.0000000017 0.0000000013 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005
4.1000 1 -0.80576284 1 0.9999998495 0.0000000795 0.0000000700 0.0000000043 0.0000000036 0.0000000025 0.0000000024 0.0000000017 0.0000000014 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005
4.1500 1 -0.80285559 1 0.9999998431 0.0000000829 0.0000000725 0.0000000044 0.0000000039 0.0000000025 0.0000000025 0.0000000018 0.0000000014 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000005 0.0000000005
4.2000 1 -0.80000000 1 0.9999998366 0.0000000864 0.0000000751 0.0000000045 0.0000000042 0.0000000026 0.0000000026 0.0000000019 0.0000000015 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000005
4.2500 1 -0.79719479 1 0.9999998303 0.0000000898 0.0000000776 0.0000000047 0.0000000046 0.0000000027 0.0000000027 0.0000000019 0.0000000015 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
4.3000 1 -0.79443872 1 0.9999998240 0.0000000932 0.0000000800 0.0000000049 0.0000000048 0.0000000029 0.0000000027 0.0000000019 0.0000000015 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
4.3500 1 -0.79173057 1 0.9999998177 0.0000000965 0.0000000826 0.0000000053 0.0000000048 0.0000000029 0.0000000027 0.0000000020 0.0000000016 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
4.4000 1 -0.78906918 1 0.9999998120 0.0000000996 0.0000000853 0.0000000056 0.0000000047 0.0000000029 0.0000000027 0.0000000019 0.0000000016 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
4.4500 1 -0.78645342 1 0.9999998064 0.0000001026 0.0000000880 0.0000000059 0.0000000046 0.0000000029 0.0000000026 0.0000000019 0.0000000015 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
4.5000 1 -0.78388218 1 0.9999998004 0.0000001058 0.0000000907 0.0000000062 0.0000000045 0.0000000029 0.0000000025 0.0000000019 0.0000000015 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
4.5500 1 -0.78135440 1 0.9999997942 0.0000001091 0.0000000932 0.0000000066 0.0000000045 0.0000000029 0.0000000025 0.0000000019 0.0000000015 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
4.6000 1 -0.77886903 1 0.9999997879 0.0000001125 0.0000000957 0.0000000071 0.0000000045 0.0000000030 0.0000000025 0.0000000019 0.0000000016 0.0000000008 0.0000000007 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000006 0.0000000006 0.0000000006
